exp_name;algorithm;env_name;ep_len;num_agent_train_steps_per_iter;n_iter;batch_size;eval_batch_size;train_batch_size;n_layers;size;learning_rate;max_replay_buffer_size;reward_mean;reward_std;expert_reward
train_steps_per_iter_humanoid5000_2;bc;humanoidv2;39;5000;1;1000;200;100;2;64;0.005;1000000;197.5;18.5;10344.52
train_steps_per_iter_humanoid5000_6;bc;humanoidv2;51;5000;1;1000;200;100;2;64;0.005;1000000;262.92;65.67;10344.52
train_steps_per_iter_humanoid5000_7;bc;humanoidv2;52;5000;1;1000;200;100;2;64;0.005;1000000;270.0;35.68;10344.52
train_steps_per_iter_humanoid5000_4;bc;humanoidv2;52;5000;1;1000;200;100;2;64;0.005;1000000;257.8;70.73;10344.52
train_steps_per_iter_humanoid5000_1;bc;humanoidv2;59;5000;1;1000;200;100;2;64;0.005;1000000;304.56;76.4;10344.52
train_steps_per_iter_humanoid5000_5;bc;humanoidv2;52;5000;1;1000;200;100;2;64;0.005;1000000;273.35;64.44;10344.52
train_steps_per_iter_humanoid5000_9;bc;humanoidv2;55;5000;1;1000;200;100;2;64;0.005;1000000;290.58;57.81;10344.52
train_steps_5000_batch_size_5000_batch_train_eval_1000humanoid_5;bc;humanoidv2;55;5000;1;5000;1000;1000;2;64;0.005;1000000;269.88;69.39;10344.52
train_steps_5000_batch_size_5000_batch_train_eval_1000humanoid_10;bc;humanoidv2;58;5000;1;5000;1000;1000;2;64;0.005;1000000;299.23;77.56;10344.52
train_steps_5000_batch_size_5000_batch_train_eval_1000humanoid_4;bc;humanoidv2;52;5000;1;5000;1000;1000;2;64;0.005;1000000;263.89;64.56;10344.52
train_steps_5000_batch_size_5000_batch_train_eval_1000humanoid_8;bc;humanoidv2;47;5000;1;5000;1000;1000;2;64;0.005;1000000;237.1;65.27;10344.52
train_steps_5000_batch_size_5000_batch_train_eval_1000humanoid_9;bc;humanoidv2;54;5000;1;5000;1000;1000;2;64;0.005;1000000;279.98;90.81;10344.52
train_steps_5000_batch_size_5000_batch_train_eval_1000humanoid_1;bc;humanoidv2;64;5000;1;5000;1000;1000;2;64;0.005;1000000;337.02;99.52;10344.52
